res,ref,cmp,note
не копировали ли они из нас в себя?,не копировали ли они из нас в себя?,TRUE,
копируй с него в нас!,копируй с него в нас!,TRUE,
не буду ли я копировать из тебя на неё?,не буду ли я копировать из тебя на неё?,TRUE,
не копируем ли мы с себя?,не копируем ли мы с себя?,TRUE,
вы будете копировать с себя в меня.,вы будете копировать с себя в меня.,TRUE,
не копируйте с вас в меня!,не копируйте с вас в меня!,TRUE,
не копировали ли бы вы из неё на него?,не копировали ли бы вы из неё на него?,TRUE,
я копировало из него на них.,я копировало из него на них.,TRUE,
копировали ли мы с себя в меня?,копировали ли мы с себя в меня?,TRUE,
я не мешал ей ими.,я не мешал ей ими.,TRUE,
мешала ли бы ты нас ей?,мешала ли бы ты нас ей?,TRUE,
не мешало ли ты мне в себе ими?,не мешало ли ты мне в себе ими?,TRUE,
не мешали ли бы они нам в них вами?,не мешали ли бы они нам в них вами?,TRUE,
они мешали вам в нём.,они мешали вам в нём.,TRUE,
будет ли оно мешать ему им?,будет ли оно мешать ему им?,TRUE,
они мешали ему в себе.,они мешали ему в себе.,TRUE,
они не будут мешать меня ими.,они не будут мешать меня ими.,TRUE,
оно мешало бы мне в них.,оно мешало бы мне в них.,TRUE,
они мешали себя тобой.,они мешали себя тобой.,TRUE,
оно не минимизировало его.,оно не минимизировало его.,TRUE,
не минимизировал ли бы он его?,не минимизировал ли бы он его?,TRUE,
буду ли я минимизировать вас?,буду ли я минимизировать вас?,TRUE,
не минимизировали ли бы мы их?,не минимизировали ли бы мы их?,TRUE,
не минимизировал ли ты нас?,не минимизировал ли ты нас?,TRUE,
она не будет минимизировать его.,она не будет минимизировать его.,TRUE,
ты не будешь минимизировать его.,ты не будешь минимизировать его.,TRUE,
минимизировал ли бы он нас?,минимизировал ли бы он нас?,TRUE,
вы не минимизируете его.,вы не минимизируете его.,TRUE,
не минимизируй тебя!,не минимизируй тебя!,TRUE,
не минимизируйте его!,не минимизируйте его!,TRUE,
не минимизировало ли бы я вас?,не минимизировало ли бы я вас?,TRUE,
оно минимизировало вас.,оно минимизировало вас.,TRUE,
я минимизировало бы тебя.,я минимизировало бы тебя.,TRUE,
не будем ли мы минимизировать его?,не будем ли мы минимизировать его?,TRUE,
не минимизировала ли бы ты вас?,не минимизировала ли бы ты вас?,TRUE,
оно наблюдалось ими.,оно наблюдалось ими.,TRUE,
наблюдалось ли ты мной?,наблюдалось ли ты мной?,TRUE,
он не наблюдается у тебя.,он не наблюдается у тебя.,TRUE,
наблюдаются ли они им?,наблюдаются ли они им?,TRUE,
наблюдаемся ли мы тобой?,наблюдаемся ли мы тобой?,TRUE,
не наблюдался ли я ей?,не наблюдался ли я ей?,TRUE,
наблюдался ли бы он вами?,наблюдался ли бы он вами?,TRUE,
она не наблюдалась у них.,она не наблюдалась у них.,TRUE,
наблюдались ли они ему?,наблюдались ли они ему?,TRUE,
ты наблюдалось им.,ты наблюдалось им.,TRUE,
оно не наблюдалось бы ими.,оно не наблюдалось бы ими.,TRUE,
не наблюдаюсь ли я вами?,не наблюдаюсь ли я вами?,TRUE,
я не буду наблюдаться им.,я не буду наблюдаться им.,TRUE,
будет ли он наблюдаться у него?,будет ли он наблюдаться у него?,TRUE,
не будет ли оно наблюдаться у нас?,не будет ли оно наблюдаться у нас?,TRUE,
не будешь ли ты наблюдаться у неё?,не будешь ли ты наблюдаться у неё?,TRUE,
не будешь ли ты наблюдаться у неё?,не будешь ли ты наблюдаться у неё?,TRUE,
не наблюдаешься ли ты?,не наблюдаешься ли ты?,TRUE,
не наблюдалось ли оно у нас?,не наблюдалось ли оно у нас?,TRUE,
я наблюдался у них.,я наблюдался у них.,TRUE,
я не настроила себя на них.,я не настроила себя на них.,TRUE,
я настроил бы её на тебя.,я настроил бы её на тебя.,TRUE,
вы настроили бы его на нас.,вы настроили бы его на нас.,TRUE,
я не настрою её на него.,я не настрою её на него.,TRUE,
не настройте меня на тебя!,не настройте меня на тебя!,TRUE,
не настрой его на них!,не настрой его на них!,TRUE,
не настроил ли я вас на них?,не настроил ли я вас на них?,TRUE,
ты не настроишь его на меня.,ты не настроишь его на меня.,TRUE,
мы настроим вас на него.,мы настроим вас на него.,TRUE,
они не настроят нас на тебя.,они не настроят нас на тебя.,TRUE,
не настроило ли ты его на себя?,не настроило ли ты его на себя?,TRUE,
настроила ли она его на вас?,настроила ли она его на вас?,TRUE,
настроит ли оно его на нас?,настроит ли оно его на нас?,TRUE,
настроят ли они нас?,настроят ли они нас?,TRUE,
она не настроила бы его.,она не настроила бы его.,TRUE,
он не настроил его на них.,он не настроил его на них.,TRUE,
настроили ли бы вы нас на него?,настроили ли бы вы нас на него?,TRUE,
они настроят нас на него.,они настроят нас на него.,TRUE,
не настроил ли бы он тебя на них?,не настроил ли бы он тебя на них?,TRUE,
ты настроишь её на нас.,ты настроишь её на нас.,TRUE,
настроил ли бы я их на нас?,настроил ли бы я их на нас?,TRUE,
обновила ли бы ты?,обновила ли бы ты?,TRUE,
обновил ли ты?,обновил ли ты?,TRUE,
обновила ли я?,обновила ли я?,TRUE,
она обновит.,она обновит.,TRUE,
не обновил ли бы ты?,не обновил ли бы ты?,TRUE,
ты обновил бы.,ты обновил бы.,TRUE,
обновил ли я?,обновил ли я?,TRUE,
не обновило ли бы оно?,не обновило ли бы оно?,TRUE,
не обновило ли бы я?,не обновило ли бы я?,TRUE,
обновило ли бы я?,обновило ли бы я?,TRUE,
обновлю ли я?,обновлю ли я?,TRUE,
ты не обновило.,ты не обновило.,TRUE,
мы не обновили.,мы не обновили.,TRUE,
не обновила ли бы она?,не обновила ли бы она?,TRUE,
ты обновило.,ты обновило.,TRUE,
ты обновило.,ты обновило.,TRUE,
ты не обновила.,ты не обновила.,TRUE,
оно не обновило.,оно не обновило.,TRUE,
мы не обновили бы.,мы не обновили бы.,TRUE,
не обосновала ли я его вам?,не обосновала ли я его вам?,TRUE,
она обосновала вас мной.,она обосновала вас мной.,TRUE,
они обосновали нас ему.,они обосновали нас ему.,TRUE,
обосновал ли я себя?,обосновал ли я себя?,TRUE,
он не обосновал себя вами.,он не обосновал себя вами.,TRUE,
ты не обосновало бы вас им.,ты не обосновало бы вас им.,TRUE,
вы обосновали нас собой.,вы обосновали нас собой.,TRUE,
она не обосновала бы её им.,она не обосновала бы её им.,TRUE,
вы не обосновали их мной.,вы не обосновали их мной.,TRUE,
не обосновала ли ты его ему?,не обосновала ли ты его ему?,TRUE,
обосновало ли бы я тебя?,обосновало ли бы я тебя?,TRUE,
не обосновали ли они нас себе?,не обосновали ли они нас себе?,TRUE,
я обслуживал бы её ей.,я обслуживал бы её ей.,TRUE,
не будешь ли ты обслуживать меня?,не будешь ли ты обслуживать меня?,TRUE,
обслуживал ли ты его нами?,обслуживал ли ты его нами?,TRUE,
обслуживало ли оно себя вами?,обслуживало ли оно себя вами?,TRUE,
не будет ли она обслуживать меня ему?,не будет ли она обслуживать меня ему?,TRUE,
он не обслуживал бы его тобой.,он не обслуживал бы его тобой.,TRUE,
обслуживала ли я нас тобой?,обслуживала ли я нас тобой?,TRUE,
не обслуживали ли мы её ей?,не обслуживали ли мы её ей?,TRUE,
обслуживало ли оно его ей?,обслуживало ли оно его ей?,TRUE,
обслуживаю ли я себя тобой?,обслуживаю ли я себя тобой?,TRUE,
она обслуживает нас вами.,она обслуживает нас вами.,TRUE,
он обслуживал их нами.,он обслуживал их нами.,TRUE,
обслуживал ли бы я её нами?,обслуживал ли бы я её нами?,TRUE,
обслуживал ли бы ты её вами?,обслуживал ли бы ты её вами?,TRUE,
я обслуживала их ему.,я обслуживала их ему.,TRUE,
будешь ли ты обслуживать меня собой?,будешь ли ты обслуживать меня собой?,TRUE,
обслуживаешь ли ты меня нами?,обслуживаешь ли ты меня нами?,TRUE,
оно обслуживало тебя нами.,оно обслуживало тебя нами.,TRUE,
остановились ли вы перед нами?,остановились ли вы перед нами?,TRUE,
мы остановились перед ними.,мы остановились перед ними.,TRUE,
ты остановился бы в нас.,ты остановился бы в нас.,TRUE,
остановимся ли мы на них?,остановимся ли мы на них?,TRUE,
она остановится на тебе.,она остановится на тебе.,TRUE,
остановилось ли бы ты на нём?,остановилось ли бы ты на нём?,TRUE,
я не остановилась на вас.,я не остановилась на вас.,TRUE,
ты не остановилась бы в ней.,ты не остановилась бы в ней.,TRUE,
ты остановилось бы.,ты остановилось бы.,TRUE,
она остановится на вас.,она остановится на вас.,TRUE,
ты не остановилось бы передо мной.,ты не остановилось бы передо мной.,TRUE,
не остановятся ли они на вас?,не остановятся ли они на вас?,TRUE,
оно остановилось в нём.,оно остановилось в нём.,TRUE,
вы не остановились на меня.,вы не остановились на меня.,TRUE,
ты остановилось бы в ней.,ты остановилось бы в ней.,TRUE,
он не остановился бы в вас.,он не остановился бы в вас.,TRUE,
не остановитесь в нас!,не остановитесь в нас!,TRUE,
вы не остановитесь на нём.,вы не остановитесь на нём.,TRUE,
не остановилось ли я перед ними?,не остановилось ли я перед ними?,TRUE,
не остановится ли он на нём?,не остановится ли он на нём?,TRUE,
осваивал ли бы ты их?,осваивал ли бы ты их?,TRUE,
они осваивали тебя.,они осваивали тебя.,TRUE,
она не будет осваивать её.,она не будет осваивать её.,TRUE,
осваивали ли вы их?,осваивали ли вы их?,TRUE,
не осваивали ли вы его?,не осваивали ли вы его?,TRUE,
не осваивало ли я тебя?,не осваивало ли я тебя?,TRUE,
не будет ли он осваивать его?,не будет ли он осваивать его?,TRUE,
осваивал ли ты его?,осваивал ли ты его?,TRUE,
будет ли оно осваивать нас?,будет ли оно осваивать нас?,TRUE,
оно осваивало вас.,оно осваивало вас.,TRUE,
они не осваивали бы вас.,они не осваивали бы вас.,TRUE,
они не осваивали нас.,они не осваивали нас.,TRUE,
не будет ли он осваивать его?,не будет ли он осваивать его?,TRUE,
ты будешь осваивать вас.,ты будешь осваивать вас.,TRUE,
осваивало ли бы ты себя?,осваивало ли бы ты себя?,TRUE,
будешь ли ты осваивать их?,будешь ли ты осваивать их?,TRUE,
не осваивало ли бы оно вас?,не осваивало ли бы оно вас?,TRUE,
ты не осваивало бы её.,ты не осваивало бы её.,TRUE,
ты осваивало бы нас.,ты осваивало бы нас.,TRUE,
вы не осваивали бы его.,вы не осваивали бы его.,TRUE,
отнесет ли она его с неё на тебя?,отнесет ли она его с неё на тебя?,TRUE,
отнесло ли бы оно вас на него?,отнесло ли бы оно вас на него?,TRUE,
они отнесли бы тебя с неё на вас.,они отнесли бы тебя с неё на вас.,TRUE,
они не отнесут тебя от неё в меня.,они не отнесут тебя от неё в меня.,TRUE,
отнесу ли я её из него к себе?,отнесу ли я её из него к себе?,TRUE,
не отнесли ли бы они меня из них в тебя?,не отнесли ли бы они меня из них в тебя?,TRUE,
не отнесли ли вы его от нас в них?,не отнесли ли вы его от нас в них?,TRUE,
не отнёс ли бы он его из него на меня?,не отнёс ли бы он его из него на меня?,TRUE,
не отнесла ли она его из него на него?,не отнесла ли она его из него на него?,TRUE,
ты не отнесла бы его до него.,ты не отнесла бы его до него.,TRUE,
отнесло ли ты их из него на меня?,отнесло ли ты их из него на меня?,TRUE,
отнесет ли она их от вас к нему?,отнесет ли она их от вас к нему?,TRUE,
она отнесла бы её от себя к ней.,она отнесла бы её от себя к ней.,TRUE,
ты не отнесла бы меня от себя.,ты не отнесла бы меня от себя.,TRUE,
они не отнесут меня с него в нас.,они не отнесут меня с него в нас.,TRUE,
они отнесли бы нас до него.,они отнесли бы нас до него.,TRUE,
ты не отнёс бы его с себя на них.,ты не отнёс бы его с себя на них.,TRUE,
он отнёс бы их с меня на него.,он отнёс бы их с меня на него.,TRUE,
вы отнесли их с неё на нас.,вы отнесли их с неё на нас.,TRUE,
не отнёс ли он его из тебя в себя?,не отнёс ли он его из тебя в себя?,TRUE,
он не поболтает с нами по ней.,он не поболтает с нами по ней.,TRUE,
поболтает ли оно вами в тебе?,поболтает ли оно вами в тебе?,TRUE,
поболтаю ли я с нему по нам?,поболтаю ли я с нему по нам?,TRUE,
поболтаем ли мы о нём по себе?,поболтаем ли мы о нём по себе?,TRUE,
я не поболтал бы ей в вас.,я не поболтал бы ей в вас.,TRUE,
мы не поболтаем с ним о нём.,мы не поболтаем с ним о нём.,TRUE,
оно поболтало бы с нему о нём.,оно поболтало бы с нему о нём.,TRUE,
он не поболтал о ней по ней.,он не поболтал о ней по ней.,TRUE,
не подавят ли они его собой?,не подавят ли они его собой?,TRUE,
не подавите ли вы их ими?,не подавите ли вы их ими?,TRUE,
не подавит ли она их?,не подавит ли она их?,TRUE,
мы подавили бы его ему.,мы подавили бы его ему.,TRUE,
подавлю ли я тебя им?,подавлю ли я тебя им?,TRUE,
подавили ли бы вы себя ему?,подавили ли бы вы себя ему?,TRUE,
подавило ли оно его тобой?,подавило ли оно его тобой?,TRUE,
он не подавил бы вас ими.,он не подавил бы вас ими.,TRUE,
она не подавила его.,она не подавила его.,TRUE,
ты не подавила бы его.,ты не подавила бы его.,TRUE,
не подавим ли мы её мной?,не подавим ли мы её мной?,TRUE,
подавит ли она вас тобой?,подавит ли она вас тобой?,TRUE,
мы подавили вас ими.,мы подавили вас ими.,TRUE,
мы подавили бы их вами.,мы подавили бы их вами.,TRUE,
не подавил ли бы ты его собой?,не подавил ли бы ты его собой?,TRUE,
я не подготовилось бы к вам.,я не подготовилось бы к вам.,TRUE,
не подготовится ли оно к ней?,не подготовится ли оно к ней?,TRUE,
вы не подготовитесь к себе.,вы не подготовитесь к себе.,TRUE,
не подготовились ли бы мы к нему?,не подготовились ли бы мы к нему?,TRUE,
я подготовился к ним.,я подготовился к ним.,TRUE,
не подготовься к ней!,не подготовься к ней!,TRUE,
не подготовилась ли я?,не подготовилась ли я?,TRUE,
не подготовилась ли бы я к нему?,не подготовилась ли бы я к нему?,TRUE,
не подготовились ли бы мы?,не подготовились ли бы мы?,TRUE,
они не подготовились бы ко мне.,они не подготовились бы ко мне.,TRUE,
не подготовилась ли бы ты к ним?,не подготовилась ли бы ты к ним?,TRUE,
ты подготовился к ним.,ты подготовился к ним.,TRUE,
оно не подготовится к нему.,оно не подготовится к нему.,TRUE,
